"","taxa_id","W","detected_0.9","detected_0.8","detected_0.7","detected_0.6"
"238"," f__Isosphaeraceae",58,FALSE,FALSE,FALSE,FALSE
"239"," g__Tundrisphaera",141,FALSE,TRUE,TRUE,TRUE
"240"," f__Gimesiaceae",48,FALSE,FALSE,FALSE,FALSE
"241"," o__Planctomycetales",111,FALSE,FALSE,FALSE,TRUE
"242"," g__SH-PL14",Inf,TRUE,TRUE,TRUE,TRUE
"243"," g__Schlesneria",63,FALSE,FALSE,FALSE,FALSE
"244"," g__Planctopirus",Inf,TRUE,TRUE,TRUE,TRUE
"245"," g__Sumerlaea",Inf,TRUE,TRUE,TRUE,TRUE
"246"," g__Hydrogenedensaceae",Inf,TRUE,TRUE,TRUE,TRUE
"247"," g__FCPU426",86,FALSE,FALSE,FALSE,FALSE
"248"," g__Turneriella",Inf,TRUE,TRUE,TRUE,TRUE
"249"," g__Subgroup_10",Inf,TRUE,TRUE,TRUE,TRUE
"250"," g__Subgroup_7",Inf,TRUE,TRUE,TRUE,TRUE
"251"," g__11-24",Inf,TRUE,TRUE,TRUE,TRUE
"252"," g__JGI_0001001-H03",Inf,TRUE,TRUE,TRUE,TRUE
"253"," f__Blastocatellaceae",Inf,TRUE,TRUE,TRUE,TRUE
"254"," g__RB41",Inf,TRUE,TRUE,TRUE,TRUE
"255"," g__Bryobacter",67,FALSE,FALSE,FALSE,FALSE
"256"," g__Paludibaculum",Inf,TRUE,TRUE,TRUE,TRUE
"257"," g__Candidatus_Solibacter",75,FALSE,FALSE,FALSE,FALSE
"258"," g__Vicinamibacteraceae",Inf,TRUE,TRUE,TRUE,TRUE
"259"," g__Subgroup_13",59,FALSE,FALSE,FALSE,FALSE
"260"," g__Subgroup_12",22,FALSE,FALSE,FALSE,FALSE
"261"," g__Subgroup_2",58,FALSE,FALSE,FALSE,FALSE
"262"," g__Candidatus_Koribacter",26,FALSE,FALSE,FALSE,FALSE
"263"," o__Acidobacteriales",62,FALSE,FALSE,FALSE,FALSE
"264"," g__Edaphobacter",58,FALSE,FALSE,FALSE,FALSE
"265"," g__Granulicella",53,FALSE,FALSE,FALSE,FALSE
"266"," g__Acidipila",62,FALSE,FALSE,FALSE,FALSE
"267"," g__Acidicapsa",118,FALSE,FALSE,TRUE,TRUE
"268"," f__Acidobacteriaceae_(Subgroup_1)",113,FALSE,FALSE,FALSE,TRUE
"269"," g__Occallatibacter",87,FALSE,FALSE,FALSE,FALSE
"270"," g__Terracidiphilus",Inf,TRUE,TRUE,TRUE,TRUE
"271"," g__Subgroup_17",Inf,TRUE,TRUE,TRUE,TRUE
"272"," f__Vicinamibacteraceae",Inf,TRUE,TRUE,TRUE,TRUE
"273"," o__Vicinamibacterales",131,FALSE,TRUE,TRUE,TRUE
"274"," g__Subgroup_5",43,FALSE,FALSE,FALSE,FALSE
"275"," g__SJA-28",Inf,TRUE,TRUE,TRUE,TRUE
"276"," g__Kapabacteriales",141,FALSE,TRUE,TRUE,TRUE
"277"," f__Gemmatimonadaceae",97,FALSE,FALSE,FALSE,FALSE
"278"," g__Roseisolibacter",54,FALSE,FALSE,FALSE,FALSE
"279"," g__Gemmatimonas",140,FALSE,TRUE,TRUE,TRUE
"280"," g__OLB12",Inf,TRUE,TRUE,TRUE,TRUE
"281"," f__Microscillaceae",Inf,TRUE,TRUE,TRUE,TRUE
"282"," g__Chryseolinea",Inf,TRUE,TRUE,TRUE,TRUE
"283"," g__Ohtaekwangia",Inf,TRUE,TRUE,TRUE,TRUE
"284"," o__Cytophagales",39,FALSE,FALSE,FALSE,FALSE
"285"," g__Flavobacterium",138,FALSE,TRUE,TRUE,TRUE
"286"," g__env.OPS_17",140,FALSE,TRUE,TRUE,TRUE
"287"," o__Sphingobacteriales",Inf,TRUE,TRUE,TRUE,TRUE
"288"," g__KD3-93",Inf,TRUE,TRUE,TRUE,TRUE
"289"," g__CWT_CU03-E12",46,FALSE,FALSE,FALSE,FALSE
"290"," g__LiUU-11-161",Inf,TRUE,TRUE,TRUE,TRUE
"291"," g__37-13",63,FALSE,FALSE,FALSE,FALSE
"292"," o__Chitinophagales",115,FALSE,FALSE,TRUE,TRUE
"293"," g__Terrimonas",Inf,TRUE,TRUE,TRUE,TRUE
"294"," g__Puia",75,FALSE,FALSE,FALSE,FALSE
"295"," g__Pseudoflavitalea",Inf,TRUE,TRUE,TRUE,TRUE
"296"," g__Flavitalea",Inf,TRUE,TRUE,TRUE,TRUE
"297"," g__Dinghuibacter",57,FALSE,FALSE,FALSE,FALSE
"298"," f__Chitinophagaceae",127,FALSE,FALSE,TRUE,TRUE
"299"," g__Sediminibacterium",Inf,TRUE,TRUE,TRUE,TRUE
"300"," g__Heliimonas",125,FALSE,FALSE,TRUE,TRUE
"301"," g__Ferruginibacter",130,FALSE,FALSE,TRUE,TRUE
"302"," g__Edaphobaculum",120,FALSE,FALSE,TRUE,TRUE
"303"," g__Phaeodactylibacter",Inf,TRUE,TRUE,TRUE,TRUE
"304"," f__Saprospiraceae",Inf,TRUE,TRUE,TRUE,TRUE
"305"," f__Cyclobacteriaceae",Inf,TRUE,TRUE,TRUE,TRUE
"306"," g__Sporocytophaga",36,FALSE,FALSE,FALSE,FALSE
