"","rab.all","rab.win.Control","rab.win.Treatment ","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
" g__Acidisoma",-2.60922258284534,-2.87310823949404,-2.32390836365359,0.670958266977109,4.82579296829078,0.121206972744171,0.439167211026544,0.451329060454094,0.719055319440554,0.446876411928055,0.687846790182289
" g__Rhodopila",-2.76730176618106,-3.02180490815019,-2.48685221744406,0.649359365755888,4.5816753077192,0.119878568654252,0.435263502647843,0.414852523235721,0.690152187598505,0.406812037948578,0.654610916467414
" g__Rhodovastum",-0.0803822310813,-0.149386272879749,-0.0449968649053405,0.163642990396286,6.43678506176577,0.0229074015244494,0.489264801940345,0.686570788729724,0.880500782298343,0.744575331227038,0.895422146542491
" f__Acetobacteraceae",6.33227601798584,6.32595404627552,6.35155964275635,0.138599346070304,1.89960346469406,0.0714030964652333,0.465191933569564,0.546723038511888,0.830253224578683,0.636537530249508,0.853801779605231
" g__Candidatus_Paracaedibacter",-0.292310420423331,0.759737114877578,-1.05587650443955,-0.90538352356252,5.17990249032468,-0.16734362701631,0.407286925963383,0.406168447362466,0.700260114102227,0.28180243381753,0.588721000198612
"d__Bacteria",6.04602107394677,6.16702409099407,5.90522205280726,-0.253624857754042,1.17321303276365,-0.126594779116889,0.403383217593734,0.160746479305132,0.543572061277083,0.301866550020708,0.639901032260355
" f__Rickettsiaceae",-2.77836072548471,-2.9260715878998,-2.63825318123278,0.275626858758413,4.60285651208105,0.0468613072061328,0.474609375899148,0.518690118247048,0.780917587687673,0.515884413109683,0.744848848790677
" g__SM2D12",-2.17121523420448,-2.1480700396414,-2.19939304414345,-0.3325209099567,5.04113682831889,-0.0578475434007546,0.470396878081115,0.513552728402569,0.770004731596479,0.560901183926165,0.78274777309917
" g__Rhodoplanes",2.81543612056729,2.8760992837621,2.74689531580178,0.269803952516807,6.50378793910583,0.0377130060958174,0.471698114209114,0.700078818910197,0.886513767285864,0.719240465765311,0.886980478181753
" f__Xanthobacteraceae",8.40262064778305,8.03885997820083,8.65632040561299,0.573196404662635,0.928840041183063,0.602358721652236,0.268880218714974,0.00522116172868209,0.125052382937572,0.0063047824095811,0.100156931992832
" g__Pseudolabrys",3.21060579319243,3.9462239257068,0.956183463648381,-1.63611372802373,5.70620527157454,-0.316565743592484,0.320312507288043,0.0700306272516112,0.340329881263779,0.0465424453403405,0.269588924468477
" g__Labrys",-1.05790706557107,-1.95281852227729,0.396326382721033,2.08083414548729,4.82414855064113,0.36498381129766,0.327473965250767,0.135306948972903,0.403273315212633,0.0723973272589249,0.287977537839682
" f__Beijerinckiaceae",2.97507424743199,2.44006675364889,3.92871988885034,1.55286982158727,5.1569395706043,0.284667996747938,0.306441127094554,0.206363178553227,0.552900836369107,0.0210992965032298,0.187736676273913
" g__Roseiarcus",4.64164431389518,4.38156764450307,4.81608001682258,0.437132102073416,2.52189001856346,0.134057893046189,0.41574496076881,0.217115720052979,0.589582134419873,0.339727542018062,0.681360431790309
" g__Bauldia",2.88407691621568,3.02315937864981,2.106885567322,-0.400089209528637,4.25014767792908,-0.0887526716421707,0.445673391659517,0.30201670009018,0.63197693473722,0.507496051525442,0.782349772865399
" o__Rhizobiales",-2.75959623936493,-2.85926989675957,-2.64965302714387,0.231537363956607,4.50978849827621,0.0424377290389787,0.478515625760259,0.517677456477111,0.777988820090974,0.514562612918545,0.75524678035347
" g__Bradyrhizobium",8.2918629045907,7.84050763377743,8.73889234860334,0.898198647202642,1.54406121579578,0.541342099646747,0.285156259306897,0.0128355604861541,0.188071646485235,0.00881414653333753,0.125164636619502
" g__1174-901-12",-2.55497043422993,-2.97180252489565,-2.10645156527828,0.905811462323001,4.61323239405057,0.156802758933627,0.421600523329744,0.367140656572699,0.635660416549833,0.346950691833948,0.594456188961642
" g__FFCH5858",-2.74604008046743,-3.15252900316408,-2.34440274703944,0.869934504380444,4.43958931820086,0.187767416170987,0.408854169996711,0.365356156459481,0.65560175776874,0.348272140554875,0.61003478869526
" g__Xanthobacteraceae",-0.552295383219962,-1.63531052007047,1.02996252193449,1.84107579425422,5.17426624127242,0.332013457961983,0.341145839574208,0.137406839710743,0.424841904997062,0.0797572532967895,0.316136602397553
" g__Rhodomicrobium",-0.44985732934668,0.0160634590155277,-0.912523156057605,-0.206427639536363,5.07909002519876,-0.0296622743396972,0.483723958908833,0.605037084690867,0.827729027340897,0.657889996436726,0.852789584045777
" f__Methyloligellaceae",-2.2688836710531,-2.35045842388847,-2.15634314550814,0.0723042961948011,4.74879805022939,0.0135617657094325,0.491216656132963,0.559950450494081,0.796711277262327,0.605598544477236,0.804836081443489
" g__Hyphomicrobium",0.163946195975511,-0.253114881663063,0.50145964867563,0.667086342662691,5.46071514907856,0.10620664067775,0.440755210455733,0.530735118674957,0.78541462245163,0.487771042625912,0.749928185946857
