,Upper Forest Floor,Lower Forest Floor,Upper B Horizon
 g__Rudaea,TRUE,FALSE,FALSE
 g__S-BQ2-57_soil_group,FALSE,FALSE,FALSE
 g__S085,TRUE,FALSE,FALSE
 g__S15-21,FALSE,FALSE,TRUE
 g__Saccharimonadales,FALSE,FALSE,FALSE
 g__Sandaracinus,TRUE,FALSE,FALSE
 g__SAR202_clade,FALSE,FALSE,FALSE
 g__SAR324_clade(Marine_group_B),FALSE,FALSE,TRUE
 g__SBR1031,TRUE,FALSE,FALSE
 g__SC-I-84,TRUE,FALSE,FALSE
 g__SCGC_AAA011-D5,FALSE,FALSE,TRUE
 g__Schlesneria,FALSE,FALSE,FALSE
 g__Sediminibacterium,TRUE,FALSE,TRUE
 g__Sericytochromatia,TRUE,FALSE,FALSE
 g__SH-PL14,TRUE,FALSE,FALSE
 g__SH3-11,TRUE,FALSE,FALSE
 g__SHA-26,FALSE,FALSE,FALSE
 g__Silvanigrella,FALSE,FALSE,TRUE
 g__Singulisphaera,TRUE,FALSE,TRUE
 g__SJA-28,TRUE,FALSE,FALSE
 g__SM1A02,TRUE,TRUE,FALSE
 g__SM2D12,FALSE,FALSE,TRUE
 g__Solirubrobacteraceae,TRUE,FALSE,FALSE
 g__Sphingobium,TRUE,FALSE,FALSE
 g__Sphingomonas,TRUE,TRUE,FALSE
 g__Sphingopyxis,TRUE,FALSE,FALSE
 g__Spirochaeta,FALSE,FALSE,TRUE
 g__Sporocytophaga,FALSE,FALSE,FALSE
 g__Steroidobacter,FALSE,FALSE,FALSE
 g__Streptacidiphilus,TRUE,FALSE,FALSE
 g__Subgroup_10,TRUE,TRUE,FALSE
 g__Subgroup_12,FALSE,FALSE,FALSE
 g__Subgroup_13,FALSE,FALSE,FALSE
 g__Subgroup_15,FALSE,FALSE,TRUE
 g__Subgroup_17,TRUE,FALSE,FALSE
 g__Subgroup_2,FALSE,FALSE,FALSE
 g__Subgroup_5,FALSE,FALSE,FALSE
 g__Subgroup_7,TRUE,TRUE,FALSE
 g__Sumerlaea,TRUE,TRUE,FALSE
 g__SWB02,TRUE,TRUE,TRUE
 g__Tahibacter,TRUE,TRUE,FALSE
 g__Telmatocola,TRUE,FALSE,FALSE
 g__Telmatospirillum,TRUE,TRUE,FALSE
 g__Tepidisphaeraceae,TRUE,FALSE,FALSE
 g__Terracidiphilus,TRUE,FALSE,FALSE
 g__Terrimonas,TRUE,TRUE,FALSE
 g__TK10,TRUE,FALSE,FALSE
 g__TRA3-20,FALSE,FALSE,FALSE
 g__Tundrisphaera,FALSE,FALSE,FALSE
 g__Turneriella,TRUE,FALSE,FALSE
 g__UBA12409,FALSE,TRUE,FALSE
 g__Undibacterium,TRUE,TRUE,FALSE
 g__Unknown_Family,TRUE,FALSE,FALSE
 g__URHD0088,TRUE,TRUE,FALSE
 g__vadinHA49,FALSE,FALSE,FALSE
 g__Vampirovibrionales,FALSE,FALSE,FALSE
 g__Variovorax,TRUE,FALSE,FALSE
 g__Vermiphilaceae,FALSE,FALSE,FALSE
 g__Vicinamibacteraceae,TRUE,TRUE,FALSE
 g__WC3-116,TRUE,FALSE,FALSE
 g__WD2101_soil_group,FALSE,FALSE,FALSE
 g__WD260,FALSE,FALSE,FALSE
 g__WPS-2,FALSE,FALSE,FALSE
 g__Xanthobacteraceae,FALSE,FALSE,FALSE
 g__Zavarzinella,TRUE,FALSE,FALSE
 o__Acidobacteriales,FALSE,FALSE,FALSE
 o__Armatimonadales,TRUE,TRUE,FALSE
