"","taxa_id","W","detected_0.9","detected_0.8","detected_0.7","detected_0.6"
"64"," g__SWB02",Inf,TRUE,TRUE,TRUE,TRUE
"65"," c__Alphaproteobacteria",4,FALSE,FALSE,FALSE,FALSE
"66"," g__A0839",59,FALSE,FALSE,FALSE,FALSE
"67"," g__bacteriap25",Inf,TRUE,TRUE,TRUE,TRUE
"68"," g__Dadabacteriales",Inf,TRUE,TRUE,TRUE,TRUE
"69"," g__Entotheonellaceae",4,FALSE,FALSE,FALSE,FALSE
"70"," g__Nitrospira",0,FALSE,FALSE,FALSE,FALSE
"71"," o__Gaiellales",0,FALSE,FALSE,FALSE,FALSE
"72"," g__Gaiella",29,FALSE,FALSE,FALSE,FALSE
"73"," g__67-14",Inf,TRUE,TRUE,TRUE,TRUE
"74"," f__Solirubrobacteraceae",9,FALSE,FALSE,FALSE,FALSE
"75"," g__Conexibacter",Inf,TRUE,TRUE,TRUE,TRUE
"76"," f__Geobacteraceae",Inf,TRUE,TRUE,TRUE,TRUE
"77"," g__Citrifermentans",Inf,TRUE,TRUE,TRUE,TRUE
"78"," g__Blfdi19",Inf,TRUE,TRUE,TRUE,TRUE
"79"," g__27F-1492R",Inf,TRUE,TRUE,TRUE,TRUE
"80"," f__Myxococcaceae",0,FALSE,FALSE,FALSE,FALSE
"81"," g__Anaeromyxobacter",2,FALSE,FALSE,FALSE,FALSE
"82"," p__Myxococcota",0,FALSE,FALSE,FALSE,FALSE
"83"," g__Haliangium",2,FALSE,FALSE,FALSE,FALSE
"84"," g__Pajaroellobacter",76,FALSE,FALSE,FALSE,FALSE
"85"," g__Phaselicystis",Inf,TRUE,TRUE,TRUE,TRUE
"86"," o__Polyangiales",Inf,TRUE,TRUE,TRUE,TRUE
"87"," g__MBNT15",Inf,TRUE,TRUE,TRUE,TRUE
"88"," g__RCP2-54",13,FALSE,FALSE,FALSE,FALSE
"89"," p__Desulfobacterota",0,FALSE,FALSE,FALSE,FALSE
"90"," g__NB1-j",1,FALSE,FALSE,FALSE,FALSE
"91"," g__0319-6G20",0,FALSE,FALSE,FALSE,FALSE
"92"," g__SAR324_clade(Marine_group_B)",Inf,TRUE,TRUE,TRUE,TRUE
"93"," g__Bdellovibrio",3,FALSE,FALSE,FALSE,FALSE
"94"," g__Silvanigrella",Inf,TRUE,TRUE,TRUE,TRUE
"95"," o__Oligoflexales",Inf,TRUE,TRUE,TRUE,TRUE
"96"," o__Babeliales",78,FALSE,FALSE,FALSE,FALSE
"97"," g__Vermiphilaceae",0,FALSE,FALSE,FALSE,FALSE
"98"," g__Babeliales",49,FALSE,FALSE,FALSE,FALSE
"99"," g__0319-7L14",Inf,TRUE,TRUE,TRUE,TRUE
