"","Intercept::Est","Intercept::SE","Intercept::t.val","Intercept::pval","TreatmentTreatment :Est","TreatmentTreatment :SE","TreatmentTreatment :t.val","TreatmentTreatment :pval","Time_PointSummer:Est","Time_PointSummer:SE","Time_PointSummer:t.val","Time_PointSummer:pval","TreatmentTreatment :Time_PointSummer:Est","TreatmentTreatment :Time_PointSummer:SE","TreatmentTreatment :Time_PointSummer:t.val","TreatmentTreatment :Time_PointSummer:pval","Intercept::pval.holm","TreatmentTreatment :pval.holm","Time_PointSummer:pval.holm","TreatmentTreatment :Time_PointSummer:pval.holm"
" g__Subgroup_15",-3.76127621023151,1.12006608755367,-3.38917420747992,0.0134603150745947,2.56104573211259,1.58401265177257,1.64874582446254,0.195759318304818,1.14364592835315,1.44599910124902,0.82485113222497,0.434724407774802,-2.92048808753234,2.05950653907831,-1.45921897436797,0.271664621136232,0.492586440975764,0.976204028031147,0.990235003389462,0.979224574475868
" p__Acidobacteriota",1.52209608480825,1.1385116460615,1.39726953009437,0.220947414337989,-1.0654843194717,1.6100986107799,-0.674786914955583,0.521990466355529,-0.015155062129743,1.46981221488647,-0.023373839696824,0.719710051810189,-0.797329630185824,2.0934230630995,-0.381962430169514,0.590611134610971,0.998578736526631,1,1,1
" c__Acidobacteriae",3.11321558783287,0.807558972664025,4.05525678236547,0.00797989190761456,0.787246722254754,1.14206085155755,0.683381283339244,0.51427271030259,0.156089366381835,1.04255415073605,0.133894145037239,0.710372334033108,-0.591276007728001,1.48488826094668,-0.396166959035893,0.651123640471471,0.263405262855748,1,1,1
" g__Edaphobacter",1.58601881709245,1.19387155587098,1.37987996480263,0.231768704177068,1.26316931652026,1.68838934604421,0.772728535477238,0.464533144285293,1.58266349238726,1.54128155113302,1.03311853571249,0.338123962372946,-1.82542333951713,2.19521535689569,-0.852056463307471,0.429257240644698,1,1,1,1
" g__Granulicella",6.38455837996497,0.660167674552944,9.9479370167783,2.59102168162129e-08,0.968783098584897,0.93361807879308,1.06407615309367,0.300656118789853,-0.611171094828909,0.852272803082676,-0.697950114325856,0.494329061532744,0.624894338333004,1.21387448270972,0.503158001046474,0.620023178264134,7.31348584089993e-06,1,1,1
" g__Acidipila",3.75479950131172,0.849762117131987,4.57973763935891,0.00076307797527905,2.08082477057706,1.20174511083893,1.79991973953484,0.114403790571698,0.388976866022806,1.09703817596338,0.364753623316757,0.68881769678803,-0.411300359245552,1.56248872842559,-0.298249892385857,0.730466653189097,0.124734351020853,1,1,1
" g__Acidicapsa",0.0951761919750553,1.19074143047878,0.119744420073439,0.622823438181817,2.75449726824509,1.68396268026264,1.64186636419099,0.151640398234229,2.42525158487517,1.53724057662784,1.58426258302985,0.160096952820017,-2.1639616814493,2.18945988069209,-0.990794241610981,0.368504032872713,1,1,1,1
" f__Acidobacteriaceae_(Subgroup_1)",1.31464526814041,1.35417154632455,0.993686372899149,0.36502914606004,-0.565763199625554,1.91508776659192,-0.288513517472999,0.679828368741269,0.532607714830789,1.74822794894097,0.315465305456941,0.691552287644086,-0.840023190982115,2.48996482054061,-0.343938589954013,0.647420274183775,1,1,1,1
" g__Occallatibacter",4.65613674034298,0.42678904128742,10.9223991928024,9.82166271132897e-14,0.808693807361758,0.60357085046088,1.34030932668705,0.197824160481281,1.3052151418456,0.550982283083335,2.36885520189909,0.024532700017722,-1.02884682001658,0.784752641925056,-1.3116525783475,0.205469910134932,2.98788246897768e-11,1,1,1
" g__Subgroup_17",6.14650342857473,0.857249285921088,7.26925054739711,1.53534910897783e-07,-2.81993859003717,1.21233356648425,-2.33227113414764,0.0310589904284399,-1.67611794357785,1.10670406930686,-1.52195540062726,0.141893895191694,4.42642187170536,1.57625565990551,2.81673044207494,0.00827762658265909,4.30214703507256e-05,1,1,0.988030285522038
