"","Intercept::Est","Intercept::SE","Intercept::t.val","Intercept::pval","TreatmentTreatment :Est","TreatmentTreatment :SE","TreatmentTreatment :t.val","TreatmentTreatment :pval","Time_PointSummer:Est","Time_PointSummer:SE","Time_PointSummer:t.val","Time_PointSummer:pval","TreatmentTreatment :Time_PointSummer:Est","TreatmentTreatment :Time_PointSummer:SE","TreatmentTreatment :Time_PointSummer:t.val","TreatmentTreatment :Time_PointSummer:pval","Intercept::pval.holm","TreatmentTreatment :pval.holm","Time_PointSummer:pval.holm","TreatmentTreatment :Time_PointSummer:pval.holm"
" g__JG30-KF-CM66",-2.3544559251722,1.037238010416,-2.28562532911117,0.100074181666126,-0.526128231478085,1.4668760617392,-0.369722638482944,0.493157759828512,-0.34611597661995,1.35806334183335,-0.251458900272422,0.500694242099773,1.07017624835185,1.90720751995804,0.573645085635619,0.48104635059203,0.879302875342576,1,1,1
" g__TK10",-2.32807151478308,1.06900726336833,-2.20408610015605,0.0997000624440136,0.0608512224229615,1.51180457013084,0.0505316339141205,0.559977204575584,-0.357317033894418,1.39965905795513,-0.250635124148524,0.516428616629679,0.943715267891358,1.96562280895215,0.492160572481089,0.543706668474438,0.905684058456773,1,1,1
" g__WPS-2",9.14336279652374,0.4232711386059,21.6331935539677,8.79490682442257e-25,-0.713241199095867,0.598595784777566,-1.19332376100693,0.242701170154927,0.523475600587966,0.554192009186194,0.94623176016303,0.35242001666532,-3.0017679213185,0.778284145416735,-3.85984236194729,0.000396565071403595,3.97199787211168e-22,1,1,0.18152311884189
" g__WS2",-2.31178470735602,1.17242971061737,-1.98908029784574,0.119102093226737,-0.701553353871573,1.65806599768426,-0.415505386236176,0.533223558003077,-0.464262312496919,1.53507082740551,-0.306399000982365,0.544189876598532,0.819559567553618,2.1557894506921,0.392497220502377,0.541158676581441,0.970501414177339,1,1,1
" g__Abditibacterium",3.60399688907836,0.584852247215061,6.56173240296287,0.00102981740205823,-0.686260739784124,0.827105979995924,-0.827809863480473,0.44551920065168,0.523839013914351,0.765751340922299,0.658177953711342,0.534668560019752,1.41256625242481,1.07538924793699,1.3482295942743,0.228122660269497,0.0413172185749233,1,1,1
" g__Fimbriimonas",-2.15845801035919,1.15017803314785,-1.89559428935171,0.139027185383526,-0.862351225513058,1.6265973736213,-0.523219873367422,0.50120052048107,-0.569938568087404,1.50593654273584,-0.37538933445861,0.513060622686271,2.3050039856124,2.11487447633193,1.10358581907234,0.362252726094965,0.94393923924385,1,1,0.998792406271657
" f__Fimbriimonadaceae",-2.188748908186,1.10100424344017,-1.97655462228467,0.143221237398905,0.591087645721709,1.55705513330342,0.381092154173929,0.531250700513428,-0.485008625632879,1.44155293886633,-0.361006777373347,0.501070891496396,-0.620477215686101,2.02445682814171,-0.301227068466504,0.533353805918557,0.923836360515324,1,1,1
" g__Fimbriimonadaceae",6.2676694062669,0.5772508756786,11.4026363996508,6.61904820814076e-08,-0.928369045402223,0.816356017276423,-1.25978627265267,0.290508433895142,0.764551879727851,0.75579880936478,0.964289654936426,0.357581404421488,-0.50211372004037,1.06141232768267,-0.431693194368589,0.672419198753293,2.62756178242018e-05,1,1,1
" g__Armatimonadales",7.3645754955786,0.583177103801188,13.0637619063633,3.60319533563788e-09,-0.960212002580553,0.824736969461103,-1.25175460476734,0.267973134731232,0.580573745319942,0.76355806335259,0.724126062989147,0.483563342478136,-1.55349146264717,1.07230910038757,-1.44834170332801,0.157143182993832,1.45619959428916e-06,1,1,1
" g__Armatimonas",-2.2345123712277,1.05891414306485,-2.13636133561569,0.106053463506774,-0.794370692260267,1.497530742511,-0.542400920755124,0.466194828095332,-0.503897022183132,1.38644406144399,-0.341310602070171,0.511190668892821,-0.028986424997773,1.94706421897634,-0.0251538040994161,0.509070922779764,0.919529773583688,1,1,1
" o__Armatimonadales",-2.46419701819177,1.21335375162491,-2.05599490724327,0.0952485105594399,-0.527095615474855,1.71594133150422,-0.290461784718939,0.549003679898444,0.315162000985491,1.58865297473708,0.21993353227519,0.585559990981931,1.63704192803859,2.23103798378947,0.726383504394245,0.459238949922705,0.955606277778301,1,1,1
" p__Armatimonadota",-2.29143758499507,1.07567939371426,-2.14636936386419,0.0835441489480665,1.94205945642299,1.52124038735598,1.31152318362587,0.282440247925912,-0.45480259846034,1.40839492719995,-0.310817573527334,0.516819851275472,3.26394627542037,1.97789109939476,1.65485260819467,0.175233769451661,0.948526233431618,0.99015017941258,1,0.998284217491929
" g__Chthonomonas",6.45754237403142,0.582761936959981,11.2635908026028,4.54534835541828e-11,-1.69181777945202,0.82414983488362,-2.08376674599967,0.0530568458199519,0.839226426716716,0.763014482359485,1.1136511263296,0.280496690308577,-1.42935636166773,1.07154571791061,-1.33674709901151,0.196860208991429,1.87923805202186e-08,1,1,1
" g__Chthonomonadales",-2.15341761642947,1.16487912175277,-1.87167700246784,0.147054004202317,-0.461161445122716,1.64738785250804,-0.265786295279405,0.545112418972318,-0.71986534449799,1.52518478597308,-0.4633677394086,0.499677664096206,4.47470004243242,2.14190590639652,2.11190968991248,0.105142410422402,0.962632700735758,1,1,0.960804460739055
" g__GAL15",-1.24786368134446,1.05110285768789,-1.16910397583437,0.331700262315491,-0.872371665672447,1.48648391679133,-0.613546913343912,0.484322206727331,-0.370981860884896,1.37621668815404,-0.268646515556838,0.57893905526247,-1.47087423694701,1.93270132245512,-0.769001001842633,0.459682269840221,1,1,1,0.999951322185677
" g__FCPU453",-0.259893555590846,1.20135550167552,-0.187258942651509,0.639849525636611,-2.8284931294045,1.69897324370106,-1.69726351351782,0.183605104160234,1.76917344169052,1.57294357799421,1.1409561983512,0.333335293825203,-1.59918431272588,2.20897636215586,-0.728197385274268,0.466615558919322,1,0.981720368121408,1,1
" g__S-BQ2-57_soil_group",2.15817209975924,1.21275021411149,1.82175607194567,0.113587765440885,-2.16317639899551,1.71508780056734,-1.27336972527406,0.266068567059323,0.151714546923032,1.58786275863994,0.110852791594107,0.735903523158366,-1.27846290965652,2.22992823725818,-0.584265091269936,0.5468397624052,1,1,1,1
" f__Methylacidiphilaceae",8.1270450184472,0.368554485693911,22.0674298532676,1.86886386237301e-25,-0.985194179864584,0.52121475214177,-1.89240218414196,0.0690564519274512,0.76311283063152,0.482551093830819,1.58203712908198,0.124526565788726,-2.65092787727198,0.677674631638093,-3.91326920317442,0.000342885437683243,8.47696207006313e-23,1,1,0.15732188422083
" g__DEV008",-2.49261325718147,1.11783817080483,-2.22882921449289,0.0865093245061759,0.317227768049072,1.58086190169053,0.20704871993484,0.537719102337688,-0.238450169789809,1.46359372354975,-0.186988264697752,0.50596567333552,4.28780327887064,2.05540998695184,2.1378577643968,0.103269377359002,0.917567088174159,1,1,0.938736330645617
" g__RS25G",-2.37899386447405,1.05421507466316,-2.26158173228723,0.0903655743032433,-0.522121243602764,1.49088525624681,-0.371902799020338,0.494782394214934,-0.229817614991889,1.38029153668785,-0.175449511069684,0.50258032140462,-0.16336403230981,1.93842386979659,-0.0675869670756434,0.543635162835786,0.897129063162465,0.992433322112388,1,1
" g__SH3-11",-2.11508751634964,1.05719309346725,-2.00705345315363,0.130340746906427,0.47835971867859,1.49509681082856,0.320198525697295,0.544107459604435,-0.55006250380616,1.38419067857092,-0.402148397858615,0.536312024656453,-0.363402037700733,1.94389966204553,-0.182876134958901,0.538851044036488,0.926771287891737,1,1,1
" g__Pedosphaera",1.99124406494216,1.27437502228203,1.61027223305663,0.180214771597618,1.01208954224848,1.80223844006077,0.552761098434569,0.571287651567547,0.887981980256163,1.66854857239099,0.528282788541095,0.592081628462871,-1.24427312975714,2.34324002913101,-0.528159474800842,0.594219053356344,0.998873245231084,1,1,1
