feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X.f__Acetobacteraceae	Treatment	 	-0.0412386544093163	0.0117472216521937	49	49	0.00101327695824928	0.00562143593716098
X.g__Rhodovastum	Treatment	 	0.0167438922908159	0.00476851916083872	49	17	0.00101076862483578	0.00562143593716098
X.g__Cytophaga	Treatment	 	0.00966909564644207	0.00275859233925974	49	10	0.00102965801021798	0.00562143593716098
X.g__JGI_0001001.H03	Treatment	 	0.014226779943168	0.00405533134077148	49	11	0.00102030598680763	0.00562143593716098
X.g__JG36.TzT.191	Treatment	 	-0.0419523860038118	0.0119753431546558	49	47	0.00103531604884382	0.00562143593716098
X.g__R7C24	Time_Point	Summer	0.0356346087406739	0.0101759663460201	49	20	0.00103958061851607	0.00562143593716098
X.f__Methylacidiphilaceae	Treatment	 	-0.023748731976792	0.00680893931375727	49	49	0.00108336324181028	0.00580444158914864
X.g__Sphingopyxis	Treatment	 	0.00901822078387564	0.00260475179590337	49	10	0.00116843037454714	0.00620330307941389
X.f__Rhodospirillaceae	Treatment	 	0.0140049730090152	0.00405106956700679	49	27	0.00118613107214503	0.00624054546065492
X.g__Acetobacteraceae	Time_Point	Summer	0.0126854531026694	0.00368289325101249	49	18	0.00123112773527918	0.00641945176252716
X.g__Heliimonas	Treatment	 	0.0189188808459493	0.00550635163834464	49	22	0.00126255959172229	0.00652508673952051
X.f__Roseiflexaceae	Treatment	 	0.00819294990119244	0.00239445422370184	49	9	0.0013161297398343	0.00674227866722131
X.g__SJA.28	Treatment	 	0.0168403862216278	0.00498840357759084	49	9	0.00150384246339394	0.0076351047992899
X.g__Terrimonas	Time_Point	Summer	0.0282834111236473	0.00838521829980442	49	21	0.00151656191218772	0.0076351047992899
X.g__FCPU426	Treatment	 	-0.0193436022016548	0.00578883937695163	49	39	0.00166142607617361	0.00829293015799477
X.g__FCPU453	Treatment	 	-0.00766043190033619	0.00233760276498573	49	10	0.00200029784525305	0.00989977916633714
X.g__Puia	Treatment	 	-0.0385853929603882	0.0118191198139926	49	48	0.00207248450382738	0.0101708483213041
X.g__Sphingobium	Treatment	 	0.0146293819077508	0.00451143165841429	49	11	0.00220632355677843	0.0106487021252777
X.g__Vicinamibacteraceae	Time_Point	Summer	0.0320029712225411	0.00986805678332651	49	18	0.00220411485753879	0.0106487021252777
X.f__Rhodanobacteraceae	Treatment	 	0.015267028850804	0.00471467864221842	49	17	0.00223507776392344	0.0106990607715679
X.f__Oxalobacteraceae	Treatment	 	-0.0258008284028127	0.00802750543183861	49	39	0.0023938132429093	0.0113657474297482
X.o__Micavibrionales	Treatment	 	0.0110113091313144	0.00344892691926268	49	8	0.00254323034350656	0.0119697868778783
X.g__Bauldia	Time_Point	Summer	0.0203313529702286	0.00637332040543198	49	18	0.00256202630091573	0.0119697868778783
X.g__Abditibacterium	Treatment	 	0.0171357837319023	0.00539812248568547	49	40	0.00267794846441277	0.0124120785969608
X.o__Planctomycetales	Treatment	 	0.0255765734439588	0.00808076840799024	49	45	0.00274889378071039	0.012640582424684
X.g__OM190	Treatment	 	0.018964273491047	0.00601186066808673	49	11	0.00283241225784593	0.0128227035548994
X.g__Puia	Time_Point	Summer	-0.0379307561047252	0.0120211706861849	49	48	0.00282562870930996	0.0128227035548994
X.g__Undibacterium	Treatment	 	-0.00880011878117504	0.00280066583246485	49	8	0.0029321404171117	0.0128625117627472
X.g__Pseudolabrys	Time_Point	Summer	0.0176783414256064	0.00561589793402174	49	16	0.00288514405533437	0.0128625117627472
X.g__Pseudorhodobacter	Treatment	 	0.029419989388996	0.00938593136835896	49	12	0.00299590933786644	0.0128625117627472
X.p__Armatimonadota	Treatment	 	0.0201190403571683	0.00641641162387001	49	11	0.00298683986522908	0.0128625117627472
X.g__Pirellula	Treatment	 	0.0187554274636623	0.00599343741126656	49	10	0.00303942914941629	0.0128625117627472
X.g__Sumerlaea	Time_Point	Summer	0.0124279077193098	0.00396894129344763	49	15	0.00302277075672164	0.0128625117627472
X.f__Spirosomaceae	Treatment	 	0.0136230490126599	0.00433480835318987	49	10	0.00292755090904473	0.0128625117627472
X.g__Acidibacter	Time_Point	Summer	0.033319901399135	0.0106234279373407	49	48	0.00297935581590404	0.0128625117627472
X.g__BIyi10	Treatment	 	0.00726527500178041	0.0023139502462054	49	8	0.00295178420533511	0.0128625117627472
X.g__Pajaroellobacter	Treatment	 	-0.0154240472314537	0.00494351585276079	49	49	0.0031192782416775	0.0131054567851774
X.g__TRA3.20	Time_Point	Summer	0.018051535831484	0.00579786344203872	49	35	0.00317710331200592	0.0132530595300818
X.f__Microbacteriaceae	Time_Point	Summer	0.0121813281371731	0.00392723899385493	49	16	0.00328274204552902	0.0135966053516947
X.f__Steroidobacteraceae	Treatment	 	0.0076461183768837	0.00247688222457868	49	8	0.00342040694795147	0.0140670257577722
X.o__Gaiellales	Time_Point	Summer	0.00988946936737684	0.00321496816682005	49	24	0.00352574892859539	0.0143183208346138
X.g__Subgroup_10	Treatment	 	0.0307547623067991	0.00999966013519221	49	13	0.00353054486332944	0.0143183208346138
X.f__Azospirillaceae	Treatment	 	0.0080785877949529	0.00264501651621468	49	9	0.00374520997850114	0.0150841560513425
X.g__Novosphingobium	Time_Point	Summer	0.00777840114059226	0.00255716791095338	49	9	0.00387636545908021	0.0155054618363208
X.o__Rhizobiales	Treatment	 	0.0236302548980501	0.00779608032871109	49	12	0.00399303956137437	0.015863504107773
X.g__IS.44	Time_Point	Summer	0.0279005706476767	0.00923553779920799	49	17	0.00410488892985863	0.0161976698313341
X.f__Azospirillaceae	Time_Point	Summer	0.00810620455445033	0.00269023374917915	49	9	0.0041938335935322	0.0164375759639115
X.g__Fimbriiglobus	Treatment	 	0.0145115177423607	0.00483203182264908	49	18	0.00431050940636915	0.0167822499554639
X.g__Ellin6067	Time_Point	Summer	0.0226663480445847	0.00759087605438199	49	21	0.00451812304517225	0.0174740652872887
X.f__Reyranellaceae	Time_Point	Summer	0.0168663749694051	0.00569129981693068	49	15	0.0048034807695245	0.0180982759316278
X.g__WPS.2	Treatment	 	-0.0247683026155952	0.00834948646416608	49	49	0.00476558970235535	0.0180982759316278
X.g__vadinHA49	Time_Point	Summer	0.0310316191805386	0.0104519924422381	49	44	0.00473299101710947	0.0180982759316278
X.f__Saprospiraceae	Treatment	 	0.0299702676515651	0.0101050814818313	49	11	0.0047731874888561	0.0180982759316278
X.g__Hydrogenedensaceae	Treatment	 	0.0121006009227196	0.0040917974927744	49	9	0.00488587870150673	0.0181968938292538
X.g__Alkanibacter	Treatment	 	0.0091116013997093	0.00308155034707043	49	8	0.00489197316985077	0.0181968938292538
X.g__Iamia	Treatment	 	0.0117328428285657	0.00398136870299038	49	8	0.00502508451055447	0.0184569141771309
X.f__Solimonadaceae	Treatment	 	0.0110496673316695	0.00374818056664749	49	13	0.0050104999155288	0.0184569141771309
X.g__OM27_clade	Treatment	 	0.0141080549408625	0.0048071572874748	49	10	0.00519308691258642	0.018927416081417
X.g__A4b	Time_Point	Summer	0.0231534639534422	0.00789403308121922	49	21	0.00521800340600708	0.018927416081417
X.g__Devosia	Time_Point	Summer	0.0204954104980389	0.00701497342070524	49	19	0.00538084373401123	0.0193976095102627
X.g__Nannocystis	Treatment	 	0.00810672397784747	0.00278732324662036	49	7	0.0055764781420544	0.0199795290488329
X.f__Sphingomonadaceae	Time_Point	Summer	0.0136428571160015	0.00469464338789554	49	13	0.00561231942235267	0.0199853325771583
X.g__0319.6G20	Treatment	 	-0.0163180006813283	0.00563229045289142	49	44	0.00574717499794395	0.0203415163563592
X.f__Devosiaceae	Time_Point	Summer	0.0175752773704857	0.00608578473227024	49	17	0.00589255342790478	0.0206062946221341
X.g__NS11.12_marine_group	Time_Point	Summer	0.0067513866028093	0.00233715032312416	49	11	0.00587986818669037	0.0206062946221341
X.f__Roseiflexaceae	Time_Point	Summer	0.00702252848673638	0.00243538803027438	49	9	0.00596231647894744	0.0206412673967408
X.g__Candidatus_Koribacter	Time_Point	Summer	-0.0204014897142523	0.00707684027005865	49	40	0.00597324347611165	0.0206412673967408
X.g__Subgroup_2	Time_Point	Summer	-0.0902486695047673	0.0314365357793777	49	49	0.00616886479751852	0.0211918649514754
X.g__Polaromonas	Treatment	 	0.00728383001876861	0.00254202940037609	49	7	0.00625960138014515	0.0213778199181565
X.g__SJA.28	Time_Point	Summer	0.0144346167613953	0.00507368161094374	49	9	0.00660897886219308	0.0224397886948881
X.f__Sandaracinaceae	Time_Point	Summer	0.0234445694564443	0.0082516898442764	49	19	0.00667641121022765	0.0225377118310575
X.g__Lineage_IIa	Treatment	 	0.0106277339919414	0.00376702304417066	49	12	0.00703921047863754	0.023540876738271
X.f__Anaerolineaceae	Treatment	 	0.0288671244003298	0.0102349262876957	49	11	0.00705420107739285	0.023540876738271
X.g__Plot4.2H12	Treatment	 	0.00628432588411858	0.00224920491897587	49	7	0.00756461402838338	0.0251007647305449
X.g__Pseudoflavitalea	Treatment	 	0.00769053240097453	0.00276217935271993	49	7	0.00776228935279302	0.0256111693900064
X.f__Fibrobacteraceae	Treatment	 	0.0114109798608335	0.00411514017320984	49	18	0.00799627889432342	0.0261940898673126
X.g__Sediminibacterium	Treatment	 	0.0115803232202647	0.00417853110086599	49	8	0.00802866795590574	0.0261940898673126
X.g__Mucilaginibacter	Treatment	 	0.0215178864255164	0.0078038503001044	49	39	0.00832967937875477	0.0270251819844044
X.o__Acidobacteriales	Time_Point	Summer	-0.0642683457250637	0.0233550839175094	49	49	0.00845147894913269	0.0272688602557651
X.f__Rhodobacteraceae	Treatment	 	0.0141958654476916	0.00516398329141317	49	8	0.00851306190693095	0.0273166382068554
X.g__SWB02	Treatment	 	0.0179683859661266	0.00655413426855677	49	10	0.00868094778858492	0.0277031339264131
X.g__Obscuribacteraceae	Time_Point	Summer	-0.0165765490289977	0.00605595301340581	49	45	0.00877889526092639	0.0278634501759838
d__Bacteria	Treatment	 	-0.0456530140070066	0.0167157141801312	49	42	0.00891924702569533	0.0281558933135463
X.g__Pedosphaeraceae	Treatment	 	0.0181850693316545	0.00666876169188507	49	45	0.00901820546766185	0.0283152257694329
X.g__Flavobacterium	Time_Point	Summer	0.0120111899436164	0.0044201801702851	49	20	0.00924482301402248	0.028871532835236
X.f__Pirellulaceae	Treatment	 	0.0155151403149625	0.00573180799157409	49	49	0.00950011292681338	0.0295109890918033
X.f__Neisseriaceae	Time_Point	Summer	-0.00691940554640149	0.00257425793376187	49	11	0.0099765755221463	0.0305464180021772
X.g__Pedomicrobium	Treatment	 	0.0162190608001556	0.00603955474309923	49	9	0.0100398192861471	0.0305464180021772
X.f__Sphingobacteriaceae	Treatment	 	0.00669344404612828	0.0024925655258076	49	6	0.0100426579733185	0.0305464180021772
X.o__Acidobacteriales	Treatment	 	-0.061774165509632	0.0229625335412735	49	49	0.00991769892262651	0.0305464180021772
X.g__Emticicia	Treatment	 	0.00859334757543821	0.00320266627950436	49	7	0.0100992135936976	0.0305592784389606
X.g__Bryobacter	Treatment	 	-0.0310260819466968	0.0116825965953579	49	49	0.0108371236922183	0.032623094001317
X.f__Isosphaeraceae	Treatment	 	-0.0129310060114822	0.00487769934623959	49	41	0.010968575707053	0.0326818786373417
X.g__Dyadobacter	Treatment	 	0.00552645953504775	0.00208376874735483	49	6	0.010937715755664	0.0326818786373417
X.f__Caulobacteraceae	Time_Point	Summer	0.0236292231840524	0.00892798233202854	49	47	0.0110927576781526	0.0328841141321883
X.g__Actinospica	Treatment	 	-0.00890433484717948	0.00337813234365006	49	17	0.0114023617706724	0.0334622074074004
X.g__C0119	Treatment	 	0.00479865820896144	0.00182020279363874	49	6	0.0113890810420732	0.0334622074074004
X.g__Dongia	Time_Point	Summer	0.0190183943913369	0.00725513589799715	49	18	0.0118317608959376	0.0343768575284953
X.f__Hyphomicrobiaceae	Treatment	 	0.0057174498852087	0.00217988550249351	49	6	0.0117881390257623	0.0343768575284953
X.f__Holosporaceae	Treatment	 	-0.00656644758833852	0.00251359992781084	49	9	0.012105643012284	0.0346553701920288
X.g__Abditibacterium	Time_Point	Summer	0.0143514317593224	0.00549040476842725	49	40	0.0120582713443993	0.0346553701920288
X.g__Pla4_lineage	Treatment	 	0.00487498834389009	0.00186455039933187	49	6	0.0120382627837976	0.0346553701920288
X.g__Ferruginibacter	Time_Point	Summer	0.0325681261689598	0.0125105045650072	49	42	0.012388563241662	0.0352922972347833
X.f__Pedosphaeraceae	Time_Point	Summer	-0.0251182324586842	0.00965689849337651	49	49	0.0124577013725818	0.0353169786484844
X.g__Aquisphaera	Treatment	 	-0.0169712000525136	0.00656911012495777	49	46	0.0130240098435813	0.0367440664186062
X.g__Hirschia	Time_Point	Summer	0.0254841168144606	0.00991232137285981	49	21	0.0134419345455834	0.03756023815608
X.g__NS9_marine_group	Treatment	 	0.00516223006287186	0.00200659851680238	49	6	0.0133854152537206	0.03756023815608
X.g__Granulicella	Treatment	 	-0.0559822161146348	0.0218603298812999	49	49	0.0137858579191814	0.0383378144038188
X.g__Roseococcus	Treatment	 	0.00581067709731451	0.00227945523214882	49	6	0.0141982622719903	0.0392925940311419
X.g__SM1A02	Time_Point	Summer	0.0113987248453037	0.00447480149886323	49	13	0.0142637498880172	0.0392925940311419
X.g__Rhodovastum	Time_Point	Summer	0.012275751705735	0.00485003821392191	49	17	0.01485499478012	0.0407291875661506
X.g__SH.PL14	Treatment	 	0.00816680555838924	0.00324004254171205	49	7	0.0152478983456554	0.041419477481643
X.f__Xanthomonadaceae	Treatment	 	-0.0140016914422154	0.0055549765024145	49	32	0.015248609004372	0.041419477481643
X.g__Hyphomicrobium	Time_Point	Summer	0.0132749384258512	0.0053075917508172	49	12	0.0160029669724234	0.042860405705114
X.g__SBR1031	Treatment	 	0.00577950614665481	0.00230800550334211	49	6	0.0158848029121812	0.042860405705114
X.g__Prosthecobacter	Treatment	 	0.00515609250845929	0.00206516395599441	49	6	0.0161792574834645	0.042860405705114
X.f__Gimesiaceae	Treatment	 	-0.0148738834988207	0.00595727325187268	49	42	0.0161767963669778	0.042860405705114
X.g__Occallatibacter	Time_Point	Summer	-0.0505662661854187	0.0202613821183479	49	48	0.0162194343507366	0.042860405705114
X.f__Saprospiraceae	Time_Point	Summer	0.0256888008441987	0.0102778304309165	49	11	0.0160698934081632	0.042860405705114
X.g__Iamia	Time_Point	Summer	0.0100567224244848	0.00404943121793385	49	8	0.0167161605759748	0.043801608006981
X.g__SC.I.84	Time_Point	Summer	0.00678201902112435	0.00273109390312805	49	9	0.0167256140163643	0.043801608006981
X.g__Nocardioides	Treatment	 	0.00666022112131302	0.00268547446252208	49	6	0.0168569142330267	0.0439483835361053
X.g__Aquicella	Time_Point	Summer	-0.0136511872058516	0.0055117654172991	49	43	0.0169969006187864	0.0441163998283167
X.g__Rhodoplanes	Time_Point	Summer	0.0170096307740015	0.00693238130053399	49	12	0.0179890577223384	0.046484998716131
X.g__Nannocystis	Time_Point	Summer	0.00694862055244068	0.0028349732494907	49	7	0.018104607560538	0.0465774925786529
X.f__Rhizobiaceae	Time_Point	Summer	0.00841252559577151	0.00344149262544349	49	11	0.018399179738227	0.0471277235400201
