"","rab.all","rab.win.Control","rab.win.Treatment ","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
" g__Subgroup_13",4.21107916527322,5.58571596720794,2.75883774596198,-3.06754176146424,4.21164511864657,-0.725990733567398,0.154196510045109,0.00110020453419604,0.00357347254556285,1.57995396168734e-05,9.12831348137891e-05
" g__Subgroup_12",2.70642898501767,4.01101949266009,1.86623586676132,-2.46637208365484,6.60635121520496,-0.360900047974138,0.314248543710871,0.0808976069859772,0.146362499396803,0.0334816343312429,0.0677371484110591
" g__Subgroup_2",12.0838904845891,12.8591343993284,10.9824670839327,-1.82055684202774,2.24600381457251,-0.718127088723836,0.212890640129755,0.000419193992227958,0.00203997515095031,0.000334412318191761,0.00126386856943963
" g__Candidatus_Koribacter",5.90502955849251,6.57208806252637,4.78514004069598,-1.50384507524771,3.55763274626772,-0.321006234185151,0.301236182693072,0.0193094273471871,0.0469092928125175,0.021697475425197,0.0475632762278179
" o__Acidobacteriales",12.1278807690048,13.2238750527102,10.9201071722826,-2.12206787858251,1.76054579546745,-1.04802912102885,0.100845842333647,9.68436543324406e-06,9.37284067831358e-05,2.70405662008925e-07,3.56154965032522e-06
" c__Acidobacteriae",-2.29183397231489,-1.8069471128991,-2.77562425499946,-0.846534245690131,4.58162249823064,-0.157398180120787,0.418998051080122,0.469697037113956,0.558180985765005,0.435720569057383,0.515268383489159
" g__Terriglobus",-2.025285034295,-1.91266144441808,-2.15056883132468,-0.0109790007846087,4.73303520961139,-0.00146448787348437,0.499674690967884,0.531317979748621,0.62703470145649,0.585649908368413,0.663416371640302
" g__Edaphobacter",6.99148063388249,7.85389255500221,5.47192402047671,-2.5049234472167,2.60711125409346,-0.841262833797285,0.132161486653081,0.000363657384791938,0.00160790939851728,3.15345738395414e-06,2.48181726795815e-05
" g__Granulicella",10.0424314867641,11.2955078221232,8.5257452140137,-2.54970083583002,2.55051875881713,-0.924753776978444,0.159505230760613,2.09269181979371e-05,0.000170043249183451,1.61801633703374e-05,9.65767335438657e-05
" g__Acidipila",10.0737103549921,10.9729927562936,8.60182271915783,-2.26757704494505,2.04931171915382,-1.00501421223147,0.137931061336075,9.13588415230106e-06,8.94881605654633e-05,4.97483145948219e-06,3.63913335299725e-05
" g__Acidicapsa",6.98447377619742,8.86842370099237,4.51499588840204,-3.71576467312365,3.2283743446599,-0.926733644027111,0.120364377749911,0.000236251191803494,0.00107995380213991,9.69839512372093e-07,9.68321853336462e-06
" f__Acidobacteriaceae_(Subgroup_1)",8.34282700947253,10.0273212921466,5.72810085208375,-3.71559078186529,2.67818646018029,-1.31452809994131,0.085881634027313,4.32399187641609e-06,2.92210947672309e-05,2.09586131627699e-08,5.08483497393996e-07
" g__Occallatibacter",11.1813039025896,11.9756857772082,8.53372545436954,-3.14563800478379,2.35701688590243,-1.14448550180802,0.0983073316818882,8.5351651968466e-07,1.39170155295207e-05,1.23517788350606e-07,1.92611061293997e-06
" g__Terracidiphilus",-1.49986438205763,0.0606994052856527,-2.60535407446244,-3.43558678748893,6.54812268073288,-0.486983972704095,0.296681856348357,0.0289387275327369,0.0580683288075003,0.0355524493821668,0.0628181483171648
" g__Subgroup_17",-0.231161325837076,-1.93382790379637,3.58909866976449,4.81622402071026,4.62989544046457,0.926527679423935,0.161353307691259,0.000360802671799428,0.00145328155141277,0.000129736147745746,0.000482757888065589
" g__Vicinamibacter",-2.00381280659829,-1.84478039525365,-2.15641913248974,-0.0149229823667554,5.09009199457677,-0.00213613040403633,0.499348958356329,0.551845346290699,0.646050552447033,0.602310790033437,0.682110594437729
" f__Vicinamibacteraceae",-1.91419912192079,-1.93892933141369,-1.87787261676636,0.721707669439436,5.34614164790356,0.113851161380666,0.441119065216208,0.464569215345845,0.559803977013283,0.529028743120292,0.610411191289472
" o__Vicinamibacterales",4.95014821571369,4.43611451544124,6.29905281514514,1.89634042033904,3.97142037808087,0.411688376385015,0.280598967930826,0.0746187656607179,0.138245117600473,0.00820255243553375,0.0205800368194195
" g__Subgroup_5",3.59157243021604,4.44970274613058,2.53133509447386,-1.91166692552618,2.585461943811,-0.604814387958923,0.150943420245463,0.00281400850892942,0.00852009197853222,3.17356897241489e-05,0.000157602445216268
" g__SJA-28",-1.11484168239323,-1.74479903287735,0.13696554035725,2.76729035843805,5.65132122919701,0.440927903601349,0.319010424023391,0.0838338845378022,0.135887988570004,0.0805650913173555,0.128431160027908
" g__Kapabacteriales",2.67409547328725,0.0414748747414615,4.05125479060942,3.55002376902985,4.9886310158241,0.64579174292161,0.208333348949046,0.00500479619161807,0.0136395333036264,0.000492931084471264,0.00166761785519131
" f__Gemmatimonadaceae",3.73029483987031,3.77798399238016,3.67296135208765,0.0897604463519803,4.5266630383556,0.0173153237814951,0.488281250414148,0.587358470005734,0.690458988799757,0.857142807517233,0.899716520571129
" g__Roseisolibacter",-1.17054613294228,-0.47146450942714,-1.87819579668571,-1.35646518577737,5.82554264696951,-0.226180730288789,0.399479509225499,0.284886709487987,0.38699306637549,0.267951319359166,0.359317452606049
" g__Gemmatimonas",1.95286827787912,-0.664433751096355,3.73215616577975,3.88264618473496,4.75396012592277,0.704398131057475,0.216796889728102,0.00219259003827837,0.00708586262113388,0.00115330858885527,0.00352786520324493
" g__OLB12",0.0688971769271705,-1.9163715891854,3.9849943484391,5.51196034813501,4.39570240949518,1.15731190637495,0.122395864375162,0.000137189988495726,0.000484981797456024,8.32866590974858e-06,4.50224746233897e-05
" f__Microscillaceae",4.3162285496815,-1.39029827424777,8.52401908627867,9.57850350437307,3.91980812861924,2.38208326074555,0.00845855189688101,5.73250631594193e-11,4.5598117340765e-09,7.67093464168689e-13,2.8776709110966e-10
" g__Chryseolinea",-0.0811125880871204,-1.77605053845416,2.43943621841305,4.27336449140577,4.5245292308677,0.852780155374973,0.162654543638833,0.00133679830732017,0.00372870138118329,0.000140911586114287,0.000514281301209729
" g__Ohtaekwangia",-1.51995877207433,-1.85436789401036,-1.04950673922899,1.51718842455311,5.91444337973503,0.2328041579825,0.405985689840014,0.218331361163712,0.30079697362857,0.298814462989391,0.379136580794156
" o__Cytophagales",-0.647640861179986,0.28880233223641,-1.50320291125529,-1.91872573391899,5.69884670374785,-0.305304197153761,0.365885421771005,0.190819059976781,0.275229036280692,0.176715489738375,0.250739893951474
" g__Flavobacterium",1.11511390173734,-1.15651417663742,2.7004632021776,3.7892554043349,4.8484805276807,0.6978589958534,0.216005219733869,0.00555304821646543,0.0140069969099321,0.00113363320319074,0.00328605110562472
" g__env.OPS_17",4.33231923896573,3.04896271319677,5.1788430029058,2.04918640759,3.92751997963152,0.549384360469003,0.182823701220851,0.00366507655811774,0.0109511750762101,0.000161212803978133,0.000649343933555273
" g__Blattabacteriaceae",-2.35160508395184,-1.71489154308959,-3.0172870802015,-1.26767076090419,4.59645106875098,-0.244322752504324,0.369791671600378,0.271282227802565,0.351263045835476,0.221973207904323,0.290031388837703
" g__Chryseobacterium",-2.26662353421362,-1.93937332331038,-2.57082926645105,-0.409906519529319,4.81904420193676,-0.0720886297358289,0.465191933569564,0.517712341787503,0.615739818763881,0.522622864995023,0.604613349742571
" g__Fluviicola",-2.13113542957176,-1.89280220121095,-2.43763981824746,-0.278543597914203,4.65431579747034,-0.0523498736549356,0.471698114209114,0.534538822965519,0.630897899856095,0.533106283374342,0.618827216047821
" o__Sphingobacteriales",-1.73344645102228,-1.55745167998254,-1.88069438484882,-0.133455698488168,4.98775869542886,-0.0242552166426006,0.487312947747763,0.521148501513206,0.620767443012115,0.576369980818032,0.659291412444666
" g__KD3-93",0.154840231039705,-1.94948271646592,3.48546570295368,5.07831493150092,4.16791230548805,1.13783543025801,0.115159434737699,0.000279339494554677,0.000938466446935327,5.37701379257648e-06,3.20000862783519e-05
" g__CWT_CU03-E12",6.00016924791959,6.47438763943116,4.52171545097931,-2.12795279198117,2.94398346037429,-0.568696406695696,0.19856772505927,0.00104441312097891,0.00418648210920639,0.000190347095300444,0.000780249638797731
" g__LiUU-11-161",-1.85208779561079,-1.87413862228717,-1.83048053659922,0.399486897330336,4.58672619009703,0.0804682197557837,0.463240079377935,0.566837645166199,0.661985058795516,0.559465085520022,0.642546122298244
" g__S15-21",-2.41548697870254,-1.74562396543947,-2.96052740264023,-1.34650500260165,4.57283460311569,-0.256081806390126,0.380208337822188,0.257615649752529,0.337862191760535,0.223465903550034,0.294685837896095
" g__Crocinitomix",-2.17307768081896,-1.86434588001523,-2.46695374188137,-0.368028975520664,4.50186318859502,-0.0628309491378877,0.468098959464724,0.440896127275401,0.541022751160476,0.478765402978572,0.559085628193349
" g__37-13",5.99204295004224,6.8576150857,5.17067665635544,-1.66566842558743,2.02437330090985,-0.710405431350013,0.195963558705928,0.00226089696317356,0.00754018213589184,0.000228420690929621,0.000902391097080832
" o__Chitinophagales",3.67588407650619,3.28362826785957,4.05326548538063,0.602492727049682,3.77002895211183,0.125254918183016,0.418347433017795,0.553976672533007,0.661631292190232,0.338937600424466,0.455679941361302
" g__Aurantisolimonas",-2.30255620203229,-1.82706725057818,-2.7537312976229,-0.771487270626269,4.71150807277367,-0.135940374649704,0.419648669142481,0.441468060479464,0.534115604058864,0.402859426218108,0.480461450326284
" g__Segetibacter",-2.36719918447056,-1.99602003354698,-2.80787935047084,-0.688533456601274,4.4502929220983,-0.119725933685302,0.4359141207109,0.454137294818091,0.544293116706101,0.434151869420987,0.514700466795368
" g__Terrimonas",0.690581893586343,-1.98988293469461,5.53788274619101,7.14370423641479,4.22997999041732,1.53387038986127,0.070266811425397,3.67696399650029e-07,4.09194166069456e-06,1.05513513666814e-07,1.31311420350224e-06
" g__Puia",8.79487678978226,9.43901976937103,6.93421163715353,-2.91098187696604,2.43841981551861,-1.15800515847464,0.0936890467533977,1.07531551651034e-06,1.64044550502491e-05,1.63235759197636e-07,2.38530399087072e-06
" g__Pseudoflavitalea",-1.49832960327545,-1.83777787550433,-0.996504850673256,1.23842969953238,4.8344991689861,0.22957870533842,0.395833337179569,0.357927384488325,0.444159012624536,0.322054232852377,0.40264731463651
