"","Intercept::Est","Intercept::SE","Intercept::t.val","Intercept::pval","TreatmentTreatment :Est","TreatmentTreatment :SE","TreatmentTreatment :t.val","TreatmentTreatment :pval","Time_PointSummer:Est","Time_PointSummer:SE","Time_PointSummer:t.val","Time_PointSummer:pval","TreatmentTreatment :Time_PointSummer:Est","TreatmentTreatment :Time_PointSummer:SE","TreatmentTreatment :Time_PointSummer:t.val","TreatmentTreatment :Time_PointSummer:pval","Intercept::pval.holm","TreatmentTreatment :pval.holm","Time_PointSummer:pval.holm","TreatmentTreatment :Time_PointSummer:pval.holm"
" g__Suillellus",-1.23350203638094,1.12146047353576,-1.06532761672414,0.391994105730656,-0.0651945479334344,1.54582658407592,-0.0704935531033612,0.482218886174058,0.361880298327766,1.45889365514966,0.232053407746394,0.508508742506355,-0.220297885682502,2.00371681821323,-0.0796261001781368,0.465053791173213,0.955022885135317,0.999819990500527,0.990820357853458,0.999651552503613
" g__Tomentella",0.356828395115628,1.27978175285173,0.29909558958124,0.587240726608421,-1.69295946144345,1.76405740733437,-0.977043256849166,0.382827013679607,-0.884998156465103,1.66485179216809,-0.523799398192112,0.542928986778283,3.13356730908119,2.28658992656831,1.39504916109248,0.276578767532678,1,0.998802387726878,1,0.997096387373893
" o__Sebacinales",-1.20976787004552,1.25300253161141,-0.961291993471528,0.387449908744809,1.3534563272049,1.72714479822241,0.816153672683373,0.433586496609953,-0.143167181843073,1.63001504412456,-0.0767486180935109,0.540269556175907,1.44557711893598,2.23874341102532,0.654905600590835,0.49344523245507,0.992257149277286,1,1,1
" g__Spencermartinsiella",-0.21028897637367,1.06557759172716,-0.13767453855123,0.54897018910845,-1.14956561808064,1.4687973473502,-0.803552315408322,0.436599742025715,-0.873650922184493,1.38619632552822,-0.665445388376265,0.439969455675871,1.73760845057505,1.90387070435324,0.951588554769204,0.3790299212575,0.999898586671808,0.991480101456479,1,0.985850137127327
" g__Cladophialophora",3.18058897253497,1.24479488269468,2.62333800094885,0.0318484870572938,-1.07253396797737,1.71583133494159,-0.633765268248943,0.550005340094267,-0.0196348654744194,1.61933781812251,-0.006031798643398,0.726465918227115,0.671457074027529,2.2240787798943,0.302495445575784,0.662767660709431,0.821410714376098,1,1,1
" o__Tremellales",-0.542879614965903,1.18232376688231,-0.427949270463545,0.546845689964836,1.19576504303259,1.62972084434607,0.742482925718969,0.485272303200499,1.96239916256109,1.53806993874603,1.29132664215156,0.283614268880027,-0.800495979730303,2.1124614484237,-0.386670066585536,0.6037252717715,0.994322433371345,0.999861792055696,0.986644419272245,1
" g__Entoloma",2.49102368150561,1.19713104247143,2.14482652325581,0.0924346669963668,-0.284911982918653,1.65013126520668,-0.179019936786716,0.656848500889623,-0.24217475955194,1.55733253508072,-0.158294731276647,0.677323771644487,0.143161375568282,2.13891765248082,0.0718718192308853,0.68483425330881,0.931686557972951,1,1,1
" g__Xanthoconium",-1.1643307517451,1.172889111481,-0.985998587245042,0.411955930439661,0.624578008651282,1.61671606934498,0.408910031022211,0.485576951123975,-0.353959492506682,1.52579651562653,-0.230487201930325,0.540029493688357,0.209142874492952,2.09560452109745,0.0952820984191582,0.554499917280638,0.991306337859723,1,0.999975222496048,1
" g__Peniophorella",-0.0393143280342088,1.23627276510162,-0.00124815961902061,0.60429519759164,0.418947908500886,1.70408440650422,0.255705507050838,0.613487901433405,-0.795952152035616,1.60825150382224,-0.508774977324734,0.504994149671695,0.971604696393868,2.20885228662863,0.445076940431238,0.557717810611481,1,1,1,1
" g__Xerocomus",-1.17276229167418,1.09427085185716,-1.05504199433128,0.366724718358737,0.598457573402756,1.50834827699904,0.428348204087482,0.537981642158542,-0.391070359465322,1.42352302239988,-0.27303116096334,0.518571246933384,-0.51105380442084,1.95513703896652,-0.29101161198331,0.543637682177837,0.98633834555675,0.99913652827112,1,0.998761468999336
